0	250	250
1	387	297
2	5	297
3	355	177
4	78	346
5	286	159
6	322	465
7	393	408
8	89	216
9	76	345
10	410	285
11	472	189
12	270	49
13	219	325
14	437	12
15	418	218
16	20	488
17	77	347
18	73	346
19	480	455
20	129	292
21	337	257
22	237	254
23	131	220
24	417	417
25	287	143
26	379	80
27	87	285
28	374	489
29	440	247
30	281	137
31	379	196
32	297	102
33	39	76
34	35	306
35	435	68
36	245	251
37	409	88
38	273	55
39	163	340
40	129	223
41	371	200
42	357	26
43	470	473
44	77	344
45	478	461
46	128	291
47	111	113
48	164	21
49	21	485
50	108	26
51	424	286
52	200	270
53	7	300
54	433	31
55	420	295
56	451	367
57	118	157
58	489	101
59	200	261
60	476	483
61	30	302
62	8	300
63	275	45
64	238	46
65	152	206
66	99	218
67	393	410
68	480	460
69	337	256
70	389	300
71	90	237
72	321	280
73	417	218
74	64	108
75	57	432
76	356	24
77	143	207
78	221	325
79	22	483
80	24	65
81	141	431
82	202	9
83	20	48
84	457	163
85	470	290
86	268	400
87	337	251
88	366	20
89	72	344
90	149	203
91	55	428
92	189	7
93	397	18
94	481	122
95	20	73
96	54	430
97	74	350
98	202	8
99	406	285
